bucket,item_no,part,specifications,unit,allocated_quantity,already_in_bench_quantity,remaining_quantity,unit_allowance_usd,allocated_total_usd,already_in_bench_usd,marginal_after_bench_usd,robot_joint,parent_link,child_link,joint_axis,assignment_basis,price_basis,purchase_url,purchase_link_type
Z,11,Z,"Width: 10mm, Length: 450mm",piece,1,0,1,4.00,4.00,0.00,4.00,joint_3,upper_arm_link,elbow_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0HBV2WRS3/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
B,12,BC,"Width: 6mm, Length: 450mm",piece,1,0,1,3.00,3.00,0.00,3.00,joint_5,wrist_roll_link,wrist_pitch_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0CMHXRGQQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
C,12,BC,"Width: 6mm, Length: 450mm",piece,1,0,1,3.00,3.00,0.00,3.00,joint_6,wrist_pitch_link,tool_link,1 0 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0CMHXRGQQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
A,13,GT2 W6 B5 20T (Pulley),,piece,1,0,1,2.00,2.00,0.00,2.00,joint_4,elbow_link,wrist_roll_link,1 0 0,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
B,13,GT2 W6 B5 20T (Pulley),,piece,1,0,1,2.00,2.00,0.00,2.00,joint_5,wrist_roll_link,wrist_pitch_link,0 1 0,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
C,13,GT2 W6 B5 20T (Pulley),,piece,1,0,1,2.00,2.00,0.00,2.00,joint_6,wrist_pitch_link,tool_link,1 0 0,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Z,14,GT2 W10 B5 20T (Pulley),,piece,1,0,1,2.50,2.50,0.00,2.50,joint_3,upper_arm_link,elbow_link,0 1 0,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
X,15,GT2 W10 B6.35 20T (Pulley),,piece,1,0,1,3.00,3.00,0.00,3.00,joint_1,base_link,shoulder_link,0 0 1,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B07BT6MVXB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Y,15,GT2 W10 B6.35 20T (Pulley),,piece,1,0,1,3.00,3.00,0.00,3.00,joint_2,shoulder_link,upper_arm_link,0 1 0,"Inferred from motor shaft diameter, belt width, and equal channel count; assembly fit unverified",unverified_planning_allowance,https://www.amazon.com/dp/B07BT6MVXB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,16,GT2 W10 B5 20T without T (Idler),,piece,4,0,4,2.50,10.00,0.00,10.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B07BPHRSN5/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,17,GT2 W6 B5 20T without T (Idler),,piece,4,0,4,2.00,8.00,0.00,8.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B09YHCF43B/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
X,18,"X,Y: Nema 23","1.8Nm, 2.8A, 6.35/76 mm",piece,1,0,1,30.00,30.00,0.00,30.00,joint_1,base_link,shoulder_link,0 0 1,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B00PNEPI0A/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Y,18,"X,Y: Nema 23","1.8Nm, 2.8A, 6.35/76 mm",piece,1,0,1,30.00,30.00,0.00,30.00,joint_2,shoulder_link,upper_arm_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B00PNEPI0A/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Z,19,Z: Nema 17,"65Ncm, 2.1A, 5/60 mm",piece,1,0,1,18.00,18.00,0.00,18.00,joint_3,upper_arm_link,elbow_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0FP1TJ7PR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
A,20,A: Nema 17,"1.3A, 5/34 mm",piece,1,1,0,12.00,12.00,12.00,0.00,joint_4,elbow_link,wrist_roll_link,1 0 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B09CYGLSCY/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
B,21,"B,C: Nema 17","24Ncm, 1.2A, 5/23 mm",piece,1,0,1,12.00,12.00,0.00,12.00,joint_5,wrist_roll_link,wrist_pitch_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0B93PNYCP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
C,21,"B,C: Nema 17","24Ncm, 1.2A, 5/23 mm",piece,1,0,1,12.00,12.00,0.00,12.00,joint_6,wrist_pitch_link,tool_link,1 0 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0B93PNYCP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
gripper,22,Servo DS3225,25kg,piece,1,0,1,20.00,20.00,0.00,20.00,,,,,BOM gripper accessory; absent from current arctos_description,unverified_planning_allowance,https://www.amazon.com/dp/B0CNTG877G/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,23,Arduino Mega,,piece,1,1,0,20.00,20.00,20.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0D6FZMB6Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,24,CNC shield V3,,piece,2,1,1,5.00,10.00,5.00,5.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0H7TB96GQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
X,25,Drivers TMC 2209,,piece,1,0,1,5.00,5.00,0.00,5.00,joint_1,base_link,shoulder_link,0 0 1,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Y,25,Drivers TMC 2209,,piece,1,0,1,5.00,5.00,0.00,5.00,joint_2,shoulder_link,upper_arm_link,0 1 0,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Z,25,Drivers TMC 2209,,piece,1,0,1,5.00,5.00,0.00,5.00,joint_3,upper_arm_link,elbow_link,0 1 0,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
A,25,Drivers TMC 2209,,piece,1,1,0,5.00,5.00,5.00,0.00,joint_4,elbow_link,wrist_roll_link,1 0 0,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
B,25,Drivers TMC 2209,,piece,1,0,1,5.00,5.00,0.00,5.00,joint_5,wrist_roll_link,wrist_pitch_link,0 1 0,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
C,25,Drivers TMC 2209,,piece,1,0,1,5.00,5.00,0.00,5.00,joint_6,wrist_pitch_link,tool_link,1 0 0,Budget one open-loop stepper driver per motor channel; prototype driver reused on A,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,26,MKS Servo 42D CAN MB,,piece,0,0,0,30.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0CNG7ZKSZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,27,MKS Servo 57D CAN MB,,piece,0,0,0,40.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0BKLXRKZB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,28,MKS CANable v2,,piece,0,0,0,15.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0GJSRZLBV/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,29,Arduino Nano,with cable,piece,0,0,0,8.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B07G99NNXL/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,30,CAN bus module,MCP2515,piece,0,0,0,5.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B09LVG9QVT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,31,External power supply,12V/24V 20A,piece,1,1,0,30.00,30.00,30.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0FRNG1JTZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,32,Female Panel Mount Connector,,piece,1,1,0,3.00,3.00,3.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0FJF32Q87/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,33,Push button switch,KCD1-101,piece,1,1,0,2.00,2.00,2.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0HBWCT25T/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,34,Step down converter,XL4015 HW-035,piece,1,0,1,4.00,4.00,0.00,4.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B07TY3GS5Y/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,35,Fans,30×30 3010 12V/24V (should match PSU),piece,2,1,1,4.00,8.00,4.00,4.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B08R9JZY2Q/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,36,Limit switch,KY003,piece,6,0,6,1.00,6.00,0.00,6.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0GZVGMZXP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,37,Limit switch,WSH231,piece,3,0,3,2.00,6.00,0.00,6.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_DmdxaBv,BOM_supplier_link; variant and pack size unverified
shared,38,M3x10,,piece,170,4,166,0.08,13.60,0.32,13.28,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x10+DIN912+socket+head+screws,shopping_search; no product selected
shared,39,M3x15,,piece,20,0,20,0.09,1.80,0.00,1.80,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x15+DIN912+socket+head+screws,shopping_search; no product selected
shared,40,M3x20,,piece,60,0,60,0.10,6.00,0.00,6.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x20+DIN912+socket+head+screws,shopping_search; no product selected
shared,41,M3x25,,piece,10,0,10,0.12,1.20,0.00,1.20,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x25+DIN912+socket+head+screws,shopping_search; no product selected
shared,42,M3x30,,piece,60,0,60,0.14,8.40,0.00,8.40,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x30+DIN912+socket+head+screws,shopping_search; no product selected
shared,43,M3x40,,piece,15,0,15,0.18,2.70,0.00,2.70,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x40+DIN912+socket+head+screws,shopping_search; no product selected
shared,44,M3x50,,piece,10,0,10,0.25,2.50,0.00,2.50,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3x50+DIN912+socket+head+screws,shopping_search; no product selected
shared,45,M4x25,,piece,10,0,10,0.20,2.00,0.00,2.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M4x25+DIN912+socket+head+screws,shopping_search; no product selected
shared,46,M5x20,,piece,25,0,25,0.20,5.00,0.00,5.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5x20+DIN912+socket+head+screws,shopping_search; no product selected
shared,47,M5x25,,piece,20,0,20,0.25,5.00,0.00,5.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5x25+DIN912+socket+head+screws,shopping_search; no product selected
shared,48,M5x30,,piece,15,0,15,0.30,4.50,0.00,4.50,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5x30+DIN912+socket+head+screws,shopping_search; no product selected
shared,49,M5x40,,piece,5,0,5,0.40,2.00,0.00,2.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5x40+DIN912+socket+head+screws,shopping_search; no product selected
shared,50,M5x80,,piece,12,0,12,0.70,8.40,0.00,8.40,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5x80+DIN912+socket+head+screws,shopping_search; no product selected
shared,51,M8x40,,piece,4,0,4,0.60,2.40,0.00,2.40,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M8x40+DIN912+socket+head+screws,shopping_search; no product selected
shared,52,M8x100,,piece,2,0,2,1.50,3.00,0.00,3.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M8x100+DIN912+socket+head+screws,shopping_search; no product selected
shared,53,M2.6×5 mm,,piece,50,0,50,0.08,4.00,0.00,4.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_Dlwx4st,BOM_supplier_link; variant and pack size unverified
shared,54,M3,,piece,60,0,60,0.03,1.80,0.00,1.80,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M3+DIN934+hex+nuts,shopping_search; no product selected
shared,55,M4,,piece,10,0,10,0.04,0.40,0.00,0.40,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M4+DIN934+hex+nuts,shopping_search; no product selected
shared,56,M5,,piece,60,0,60,0.05,3.00,0.00,3.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M5+DIN934+hex+nuts,shopping_search; no product selected
shared,57,M8,,piece,2,0,2,0.10,0.20,0.00,0.20,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=M8+DIN934+hex+nuts,shopping_search; no product selected
shared,58,Double end threaded rods,m5x130,piece,5,0,5,2.00,10.00,0.00,10.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x130,shopping_search; no product selected
shared,59,Double end threaded rods,m5x140,piece,1,0,1,2.50,2.50,0.00,2.50,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x140,shopping_search; no product selected
shared,60,Double end threaded rods,m4x100,piece,5,0,5,2.00,10.00,0.00,10.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m4x100,shopping_search; no product selected
shared,61,Double end threaded rods,m5x100,piece,1,0,1,2.00,2.00,0.00,2.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x100,shopping_search; no product selected
Z,62,Dowel pins 4mm,"Z gearbox, 50mm length",piece,25,0,25,0.40,10.00,0.00,10.00,joint_3,upper_arm_link,elbow_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0DYST975Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Y,63,Dowel pins 4mm,"Y gearbox, 80mm length",piece,25,0,25,0.60,15.00,0.00,15.00,joint_2,shoulder_link,upper_arm_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
gripper,64,Dowel pins 4mm,"Gripper, 70mm length",piece,2,0,2,0.60,1.20,0.00,1.20,,,,,BOM gripper accessory; absent from current arctos_description,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,65,Neodymium magnets,3×3,piece,150,0,150,0.10,15.00,0.00,15.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0F13MN2SC/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,66,PLA 1.75 1kg,,1 kg spool,5,0,5,0.00,0.00,0.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,already_owned,https://us.store.bambulab.com/products/pla-basic-filament,manufacturer_page; confirm PLA variant
shared,67,Zip ties,,pack,1,1,0,3.00,3.00,3.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c2RA9jr9,BOM_supplier_link; variant and pack size unverified
shared,68,Heat shrink tubes,,pack,1,1,0,5.00,5.00,5.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4SdROgj,BOM_supplier_link; variant and pack size unverified
shared,69,Superglue,,pack,1,0,1,4.00,4.00,0.00,4.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/s?k=Superglue,shopping_search; no product selected
shared,70,Cable sleeve 10mm diameter,2m,metre,2,0,2,2.00,4.00,0.00,4.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4XmEl9J,BOM_supplier_link; variant and pack size unverified
shared,71,Motor Connector Cable,2m,piece,2,0,2,4.00,8.00,0.00,8.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified
shared,72,Motor Connector Cable,1.5m,piece,1,0,1,3.50,3.50,0.00,3.50,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified
shared,73,Motor Connector Cable,1m,piece,3,1,2,3.00,9.00,3.00,6.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified
shared,74,Power cord,,piece,1,1,0,6.00,6.00,6.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4CQdVKF,BOM_supplier_link; variant and pack size unverified
shared,75,Dupont jumper wires,"m2m, f2f, m2f",pack,1,1,0,5.00,5.00,5.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B01EV70C78/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,76,USB A to B,2m with shield,piece,1,1,0,5.00,5.00,5.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B00P0FO1P0/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,EXTRA-WIRING,Wiring and terminal supplies,"Wire, insulated terminals and suitable circuit protection",allowance,1,1,0,15.00,15.00,15.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_setup_allowance,https://www.amazon.com/s?k=electrical+wire+terminal+fuse+assortment,shopping_search; no product selected
shared,EXTRA-MOUNT,Bench mounting supplies,Rigid motor fixture and bench attachment hardware,allowance,1,1,0,10.00,10.00,10.00,0.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_setup_allowance,https://www.amazon.com/s?k=stepper+motor+NEMA+17+mounting+bracket+hardware,shopping_search; no product selected
