item_no,category,group,configuration,part,specifications,bom_quantity,budget_quantity,budget_unit,currency,budget_unit_price_usd,budget_line_total_usd,price_basis,purchase_url,purchase_link_type,aliexpress_url,amazon_url,budget_notes,source_url,checked_date
11,Motion & Control Components,Closed Loop Belts GT2,common,Z,"Width: 10mm, Length: 450mm",1,1,piece,USD,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBV2WRS3/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkmYDZb,https://www.amazon.com/dp/B0HBV2WRS3/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
12,Motion & Control Components,Closed Loop Belts GT2,common,BC,"Width: 6mm, Length: 450mm",2,2,piece,USD,3.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CMHXRGQQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DBN3nup,https://www.amazon.com/dp/B0CMHXRGQQ/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
13,Motion & Control Components,Pulleys & Idlers,common,GT2 W6 B5 20T (Pulley),,3,3,piece,USD,2.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkvAwMV,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
14,Motion & Control Components,Pulleys & Idlers,common,GT2 W10 B5 20T (Pulley),,1,1,piece,USD,2.50,2.50,unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkvAwMV,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
15,Motion & Control Components,Pulleys & Idlers,common,GT2 W10 B6.35 20T (Pulley),,2,2,piece,USD,3.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B07BT6MVXB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkvAwMV,https://www.amazon.com/dp/B07BT6MVXB/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
16,Motion & Control Components,Pulleys & Idlers,common,GT2 W10 B5 20T without T (Idler),,4,4,piece,USD,2.50,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B07BPHRSN5/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DEKET1L,https://www.amazon.com/dp/B07BPHRSN5/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
17,Motion & Control Components,Pulleys & Idlers,common,GT2 W6 B5 20T without T (Idler),,4,4,piece,USD,2.00,8.00,unverified_planning_allowance,https://www.amazon.com/dp/B09YHCF43B/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DEKET1L,https://www.amazon.com/dp/B09YHCF43B/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
18,Motion & Control Components,Motors,common,"X,Y: Nema 23","1.8Nm, 2.8A, 6.35/76 mm",2,2,piece,USD,30.00,60.00,unverified_planning_allowance,https://www.amazon.com/dp/B00PNEPI0A/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_Dlo9ZWV,https://www.amazon.com/dp/B00PNEPI0A/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
19,Motion & Control Components,Motors,common,Z: Nema 17,"65Ncm, 2.1A, 5/60 mm",1,1,piece,USD,18.00,18.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FP1TJ7PR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3WB5AAP,https://www.amazon.com/dp/B0FP1TJ7PR/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
20,Motion & Control Components,Motors,common,A: Nema 17,"1.3A, 5/34 mm",1,1,piece,USD,12.00,12.00,unverified_planning_allowance,https://www.amazon.com/dp/B09CYGLSCY/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DEU9Spr,https://www.amazon.com/dp/B09CYGLSCY/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
21,Motion & Control Components,Motors,common,"B,C: Nema 17","24Ncm, 1.2A, 5/23 mm",2,2,piece,USD,12.00,24.00,unverified_planning_allowance,https://www.amazon.com/dp/B0B93PNYCP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DDqMgdR,https://www.amazon.com/dp/B0B93PNYCP/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
22,Motion & Control Components,Motors,common,Servo DS3225,25kg,1,1,piece,USD,20.00,20.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CNTG877G/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DCBFYjF,https://www.amazon.com/dp/B0CNTG877G/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
23,Electronics & Control Boards,Open Loop Option,open_loop,Arduino Mega,,1,1,piece,USD,20.00,20.00,unverified_planning_allowance,https://www.amazon.com/dp/B0D6FZMB6Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4tOvzmj,https://www.amazon.com/dp/B0D6FZMB6Z/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
24,Electronics & Control Boards,Open Loop Option,open_loop,CNC shield V3,,2,2,piece,USD,5.00,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B0H7TB96GQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DehdKRb,https://www.amazon.com/dp/B0H7TB96GQ/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
25,Electronics & Control Boards,Open Loop Option,open_loop,Drivers TMC 2209,,6,6,piece,USD,5.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4loyD8H,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
26,Electronics & Control Boards,Closed Loop Option,closed_loop,MKS Servo 42D CAN MB,,4,4,piece,USD,30.00,120.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CNG7ZKSZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c43IR83h,https://www.amazon.com/dp/B0CNG7ZKSZ/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
27,Electronics & Control Boards,Closed Loop Option,closed_loop,MKS Servo 57D CAN MB,,2,2,piece,USD,40.00,80.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BKLXRKZB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3zkjW4D,https://www.amazon.com/dp/B0BKLXRKZB/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
28,Electronics & Control Boards,Closed Loop Option,closed_loop,MKS CANable v2,,1,1,piece,USD,15.00,15.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GJSRZLBV/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3zo7s1N,https://www.amazon.com/dp/B0GJSRZLBV/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
29,Electronics & Control Boards,Closed Loop Option,closed_loop,Arduino Nano,with cable,1,1,piece,USD,8.00,8.00,unverified_planning_allowance,https://www.amazon.com/dp/B07G99NNXL/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_oCXrlll,https://www.amazon.com/dp/B07G99NNXL/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
30,Electronics & Control Boards,Closed Loop Option,closed_loop,CAN bus module,MCP2515,1,1,piece,USD,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B09LVG9QVT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3WlggVN,https://www.amazon.com/dp/B09LVG9QVT/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
31,Electronics & Control Boards,Power & General Electronics,common,External power supply,12V/24V 20A,1,1,piece,USD,30.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FRNG1JTZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_olxoTxD,https://www.amazon.com/dp/B0FRNG1JTZ/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
32,Electronics & Control Boards,Power & General Electronics,common,Female Panel Mount Connector,,1,1,piece,USD,3.00,3.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FJF32Q87/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3JljJUJ,https://www.amazon.com/dp/B0FJF32Q87/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
33,Electronics & Control Boards,Power & General Electronics,common,Push button switch,KCD1-101,1,1,piece,USD,2.00,2.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBWCT25T/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3xSabaD,https://www.amazon.com/dp/B0HBWCT25T/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
34,Electronics & Control Boards,Power & General Electronics,common,Step down converter,XL4015 HW-035,1,1,piece,USD,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B07TY3GS5Y/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3kCwsml,https://www.amazon.com/dp/B07TY3GS5Y/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
35,Electronics & Control Boards,Power & General Electronics,common,Fans,30×30 3010 12V/24V (should match PSU),2,2,piece,USD,4.00,8.00,unverified_planning_allowance,https://www.amazon.com/dp/B08R9JZY2Q/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_oFE6kLd,https://www.amazon.com/dp/B08R9JZY2Q/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
36,Electronics & Control Boards,Power & General Electronics,common,Limit switch,KY003,6,6,piece,USD,1.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GZVGMZXP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DDr1D5F,https://www.amazon.com/dp/B0GZVGMZXP/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
37,Electronics & Control Boards,Power & General Electronics,common,Limit switch,WSH231,3,3,piece,USD,2.00,6.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_DmdxaBv,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DmdxaBv,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
38,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x10,,170,170,piece,USD,0.08,13.60,unverified_planning_allowance,https://www.amazon.com/s?k=M3x10+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
39,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x15,,20,20,piece,USD,0.09,1.80,unverified_planning_allowance,https://www.amazon.com/s?k=M3x15+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
40,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x20,,60,60,piece,USD,0.10,6.00,unverified_planning_allowance,https://www.amazon.com/s?k=M3x20+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
41,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x25,,10,10,piece,USD,0.12,1.20,unverified_planning_allowance,https://www.amazon.com/s?k=M3x25+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
42,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x30,,60,60,piece,USD,0.14,8.40,unverified_planning_allowance,https://www.amazon.com/s?k=M3x30+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
43,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x40,,15,15,piece,USD,0.18,2.70,unverified_planning_allowance,https://www.amazon.com/s?k=M3x40+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
44,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M3x50,,10,10,piece,USD,0.25,2.50,unverified_planning_allowance,https://www.amazon.com/s?k=M3x50+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
45,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M4x25,,10,10,piece,USD,0.20,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=M4x25+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
46,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M5x20,,25,25,piece,USD,0.20,5.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x20+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
47,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M5x25,,20,20,piece,USD,0.25,5.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x25+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
48,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M5x30,,15,15,piece,USD,0.30,4.50,unverified_planning_allowance,https://www.amazon.com/s?k=M5x30+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
49,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M5x40,,5,5,piece,USD,0.40,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x40+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
50,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M5x80,,12,12,piece,USD,0.70,8.40,unverified_planning_allowance,https://www.amazon.com/s?k=M5x80+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
51,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M8x40,,4,4,piece,USD,0.60,2.40,unverified_planning_allowance,https://www.amazon.com/s?k=M8x40+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
52,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M8x100,,2,2,piece,USD,1.50,3.00,unverified_planning_allowance,https://www.amazon.com/s?k=M8x100+DIN912+socket+head+screws,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
53,Fasteners & Miscellaneous Parts,Screws (DIN912 Socket Head),common,M2.6×5 mm,,50,50,piece,USD,0.08,4.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_Dlwx4st,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_Dlwx4st,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
54,Fasteners & Miscellaneous Parts,Nuts (DIN934),common,M3,,60,60,piece,USD,0.03,1.80,unverified_planning_allowance,https://www.amazon.com/s?k=M3+DIN934+hex+nuts,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
55,Fasteners & Miscellaneous Parts,Nuts (DIN934),common,M4,,10,10,piece,USD,0.04,0.40,unverified_planning_allowance,https://www.amazon.com/s?k=M4+DIN934+hex+nuts,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
56,Fasteners & Miscellaneous Parts,Nuts (DIN934),common,M5,,60,60,piece,USD,0.05,3.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5+DIN934+hex+nuts,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
57,Fasteners & Miscellaneous Parts,Nuts (DIN934),common,M8,,2,2,piece,USD,0.10,0.20,unverified_planning_allowance,https://www.amazon.com/s?k=M8+DIN934+hex+nuts,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
58,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Double end threaded rods,m5x130,5,5,piece,USD,2.00,10.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x130,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
59,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Double end threaded rods,m5x140,1,1,piece,USD,2.50,2.50,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x140,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
60,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Double end threaded rods,m4x100,5,5,piece,USD,2.00,10.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m4x100,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
61,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Double end threaded rods,m5x100,1,1,piece,USD,2.00,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x100,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
62,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Dowel pins 4mm,"Z gearbox, 50mm length",25,25,piece,USD,0.40,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B0DYST975Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c2z95nLH,https://www.amazon.com/dp/B0DYST975Z/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
63,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Dowel pins 4mm,"Y gearbox, 80mm length",25,25,piece,USD,0.60,15.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c2z95nLH,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
64,Fasteners & Miscellaneous Parts,Rods & Dowel Pins,common,Dowel pins 4mm,"Gripper, 70mm length",2,2,piece,USD,0.60,1.20,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c2z95nLH,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.,https://arctosrobotics.com/bom/,2026-09-25
65,Fasteners & Miscellaneous Parts,Miscellaneous,common,Neodymium magnets,3×3,150,150,piece,USD,0.10,15.00,unverified_planning_allowance,https://www.amazon.com/dp/B0F13MN2SC/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c40xPFdX,https://www.amazon.com/dp/B0F13MN2SC/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
