item_no,category,part,specifications,unit,unit_allowance_usd,one_axis_quantity,one_axis_total_usd,full_open_loop_quantity,full_open_loop_total_usd,additional_after_one_axis_usd,price_basis,purchase_url,purchase_link_type,notes
26,Closed Loop Option,MKS Servo 42D CAN MB,,piece,30.00,0,0.00,0,0.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CNG7ZKSZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
27,Closed Loop Option,MKS Servo 57D CAN MB,,piece,40.00,0,0.00,0,0.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BKLXRKZB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
28,Closed Loop Option,MKS CANable v2,,piece,15.00,0,0.00,0,0.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GJSRZLBV/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
29,Closed Loop Option,Arduino Nano,with cable,piece,8.00,0,0.00,0,0.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B07G99NNXL/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
30,Closed Loop Option,CAN bus module,MCP2515,piece,5.00,0,0.00,0,0.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B09LVG9QVT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
31,Power & General Electronics,External power supply,12V/24V 20A,piece,30.00,1,30.00,1,30.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FRNG1JTZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
32,Power & General Electronics,Female Panel Mount Connector,,piece,3.00,1,3.00,1,3.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FJF32Q87/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
33,Power & General Electronics,Push button switch,KCD1-101,piece,2.00,1,2.00,1,2.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBWCT25T/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
34,Power & General Electronics,Step down converter,XL4015 HW-035,piece,4.00,0,0.00,1,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B07TY3GS5Y/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
35,Power & General Electronics,Fans,30×30 3010 12V/24V (should match PSU),piece,4.00,1,4.00,2,8.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B08R9JZY2Q/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
36,Power & General Electronics,Limit switch,KY003,piece,1.00,0,0.00,6,6.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GZVGMZXP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
37,Power & General Electronics,Limit switch,WSH231,piece,2.00,0,0.00,3,6.00,6.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_DmdxaBv,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
38,Screws (DIN912 Socket Head),M3x10,,piece,0.08,4,0.32,170,13.60,13.28,unverified_planning_allowance,https://www.amazon.com/s?k=M3x10+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded. Stage 1 assumes four mounting screws; check length against the printed mount and motor.
39,Screws (DIN912 Socket Head),M3x15,,piece,0.09,0,0.00,20,1.80,1.80,unverified_planning_allowance,https://www.amazon.com/s?k=M3x15+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
40,Screws (DIN912 Socket Head),M3x20,,piece,0.10,0,0.00,60,6.00,6.00,unverified_planning_allowance,https://www.amazon.com/s?k=M3x20+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
41,Screws (DIN912 Socket Head),M3x25,,piece,0.12,0,0.00,10,1.20,1.20,unverified_planning_allowance,https://www.amazon.com/s?k=M3x25+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
42,Screws (DIN912 Socket Head),M3x30,,piece,0.14,0,0.00,60,8.40,8.40,unverified_planning_allowance,https://www.amazon.com/s?k=M3x30+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
43,Screws (DIN912 Socket Head),M3x40,,piece,0.18,0,0.00,15,2.70,2.70,unverified_planning_allowance,https://www.amazon.com/s?k=M3x40+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
44,Screws (DIN912 Socket Head),M3x50,,piece,0.25,0,0.00,10,2.50,2.50,unverified_planning_allowance,https://www.amazon.com/s?k=M3x50+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
45,Screws (DIN912 Socket Head),M4x25,,piece,0.20,0,0.00,10,2.00,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=M4x25+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
46,Screws (DIN912 Socket Head),M5x20,,piece,0.20,0,0.00,25,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x20+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
47,Screws (DIN912 Socket Head),M5x25,,piece,0.25,0,0.00,20,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x25+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
48,Screws (DIN912 Socket Head),M5x30,,piece,0.30,0,0.00,15,4.50,4.50,unverified_planning_allowance,https://www.amazon.com/s?k=M5x30+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
49,Screws (DIN912 Socket Head),M5x40,,piece,0.40,0,0.00,5,2.00,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5x40+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
50,Screws (DIN912 Socket Head),M5x80,,piece,0.70,0,0.00,12,8.40,8.40,unverified_planning_allowance,https://www.amazon.com/s?k=M5x80+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
51,Screws (DIN912 Socket Head),M8x40,,piece,0.60,0,0.00,4,2.40,2.40,unverified_planning_allowance,https://www.amazon.com/s?k=M8x40+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
52,Screws (DIN912 Socket Head),M8x100,,piece,1.50,0,0.00,2,3.00,3.00,unverified_planning_allowance,https://www.amazon.com/s?k=M8x100+DIN912+socket+head+screws,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
53,Screws (DIN912 Socket Head),M2.6×5 mm,,piece,0.08,0,0.00,50,4.00,4.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_Dlwx4st,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
54,Nuts (DIN934),M3,,piece,0.03,0,0.00,60,1.80,1.80,unverified_planning_allowance,https://www.amazon.com/s?k=M3+DIN934+hex+nuts,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
55,Nuts (DIN934),M4,,piece,0.04,0,0.00,10,0.40,0.40,unverified_planning_allowance,https://www.amazon.com/s?k=M4+DIN934+hex+nuts,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
56,Nuts (DIN934),M5,,piece,0.05,0,0.00,60,3.00,3.00,unverified_planning_allowance,https://www.amazon.com/s?k=M5+DIN934+hex+nuts,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
57,Nuts (DIN934),M8,,piece,0.10,0,0.00,2,0.20,0.20,unverified_planning_allowance,https://www.amazon.com/s?k=M8+DIN934+hex+nuts,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
58,Rods & Dowel Pins,Double end threaded rods,m5x130,piece,2.00,0,0.00,5,10.00,10.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x130,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
59,Rods & Dowel Pins,Double end threaded rods,m5x140,piece,2.50,0,0.00,1,2.50,2.50,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x140,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
60,Rods & Dowel Pins,Double end threaded rods,m4x100,piece,2.00,0,0.00,5,10.00,10.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m4x100,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
61,Rods & Dowel Pins,Double end threaded rods,m5x100,piece,2.00,0,0.00,1,2.00,2.00,unverified_planning_allowance,https://www.amazon.com/s?k=Double+end+threaded+rods+m5x100,shopping_search; no product selected,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
62,Rods & Dowel Pins,Dowel pins 4mm,"Z gearbox, 50mm length",piece,0.40,0,0.00,25,10.00,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B0DYST975Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
63,Rods & Dowel Pins,Dowel pins 4mm,"Y gearbox, 80mm length",piece,0.60,0,0.00,25,15.00,15.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
64,Rods & Dowel Pins,Dowel pins 4mm,"Gripper, 70mm length",piece,0.60,0,0.00,2,1.20,1.20,unverified_planning_allowance,https://www.amazon.com/dp/B0BK7399Z4/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. Per-piece allocation; retail pack rounding is excluded.
65,Miscellaneous,Neodymium magnets,3×3,piece,0.10,0,0.00,150,15.00,15.00,unverified_planning_allowance,https://www.amazon.com/dp/B0F13MN2SC/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
66,Miscellaneous,PLA 1.75 1kg,,1 kg spool,0.00,0,0.00,5,0.00,0.00,already_owned,https://us.store.bambulab.com/products/pla-basic-filament,manufacturer_page; confirm PLA variant,PLA already owned; no purchase for either stage. Full-arm quantity preserves the source 5 kg requirement; prototype consumption is not yet sliced.
67,Miscellaneous,Zip ties,,pack,3.00,1,3.00,1,3.00,0.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c2RA9jr9,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. BOM quantity blank; assume one pack for budgeting.
68,Miscellaneous,Heat shrink tubes,,pack,5.00,1,5.00,1,5.00,0.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4SdROgj,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. BOM quantity blank; assume one pack for budgeting.
69,Miscellaneous,Superglue,,pack,4.00,0,0.00,1,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/s?k=Superglue,shopping_search; no product selected,Unverified planning allowance; not a supplier quote.
70,Miscellaneous,Cable sleeve 10mm diameter,2m,metre,2.00,0,0.00,2,4.00,4.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4XmEl9J,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. BOM quantity blank; use the 2 m length in specifications.
71,Cables,Motor Connector Cable,2m,piece,4.00,0,0.00,2,8.00,8.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
72,Cables,Motor Connector Cable,1.5m,piece,3.50,0,0.00,1,3.50,3.50,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
73,Cables,Motor Connector Cable,1m,piece,3.00,1,3.00,3,9.00,6.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
74,Cables,Power cord,,piece,6.00,1,6.00,1,6.00,0.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4CQdVKF,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
75,Cables,Dupont jumper wires,"m2m, f2f, m2f",pack,5.00,1,5.00,1,5.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B01EV70C78/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
76,Cables,USB A to B,2m with shield,piece,5.00,1,5.00,1,5.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B00P0FO1P0/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
EXTRA-WIRING,Prototype setup allowances,Wiring and terminal supplies,"Wire, insulated terminals and suitable circuit protection",allowance,15.00,1,15.00,1,15.00,0.00,unverified_setup_allowance,https://www.amazon.com/s?k=electrical+wire+terminal+fuse+assortment,shopping_search; no product selected,Added planning allowance outside the official BOM; confirm actual fixture and electrical requirements. Reused between stages.
EXTRA-MOUNT,Prototype setup allowances,Bench mounting supplies,Rigid motor fixture and bench attachment hardware,allowance,10.00,1,10.00,1,10.00,0.00,unverified_setup_allowance,https://www.amazon.com/s?k=stepper+motor+NEMA+17+mounting+bracket+hardware,shopping_search; no product selected,Added planning allowance outside the official BOM; confirm actual fixture and electrical requirements. Reused between stages.
